ISP,count
PCCW Limited,1465
Hong Kong Broadband Network Ltd.,657
Hutchison Global Communications,518
Wharf T&T Ltd.,433
AS number for New World Telephone Ltd.,404
PCCW IMSBiz,287
Sun Network (Hong Kong) Limited,177
HK Cable TV Ltd,94
HOSTSPACE NETWORKS LLC,76
-,74
SmarTone Telecommunications Ltd.,70
Diyixian.com Limited,66
SmarTone Mobile Communications Ltd,61
HOT NET LIMITED,47
Pacnet Internet (Hong Kong) Limited,46
NETWORK AND SECURITY SOLUTIONS LIMITED,40
Hutchison Global Crossing,39
HKCSL GPRS NETWORK,39
Hutchison Telephone Company Limited,37
Pang International Limited-AS number,35
"Shanghai Chenyi Network Technology Co.,Ltd",30
Gigabit Hosting Sdn Bhd,27
CITIC Telecom International CPC Limited,23
"FNETLINK CO .,LIMITED",23
SunnyVision Limited,23
Henderson Data Centre Limited,23
HKNet Co. Ltd,23
Cloudie Limited,21
HK Broadband Network Ltd.,21
HongKong Commercial Internet Exchange,19
AS Data(Hong Kong)Limited,17
SoftLayer Technologies Inc.,17
Hong Kong Telecommunications (HKT) Limited,16
VpsQuan L.L.C.,16
Rackspace IT Hosting AS IT Hosting Provider Hong Kong,15
CommuniLink Internet Limited.,15
China Mobile Hong Kong Company Limited,15
APNIC ASN block,15
Hong Kong San Ai Net Int'l Limited,14
"Forewin Telecom Group Limited, ISP at",14
NewMedia Express Pte Ltd. Singapore Web Hosting Service Provider,13
Pacificnet Hosting Ltd,13
SingTel Hong Kong Limited,12
"Menara Jamsostek, North Tower 24th Floor",12
"Beyond The Network America, Inc.",12
NTT Com Asia Limited,11
Huayun Data Holdings Limited,10
2012 Limited / Netfront,10
China Telecom Next Generation Carrier Network,9
HongKong Virtual Internal Server Company Limited,9
Cyberport Hong Kong,9
iAdvantage Limited,8
Cyber Express Communication Ltd.,8
"Suite 2101~02, 21/F, Tower 2, Nina Tower",8
i4HK Limited,7
Areti Internet Ltd.,7
ISP,7
ZS NETWORK (HONGKONG) LIMITED,7
"Flat C, 16/F, Skyline Tower",6
hongkong kwaifong information service limited,6
"Room 704, ChinaChen Leighton Plaza",6
REDTONE TELECOMMUNICATIONS(HK) LIMITED,6
"92Cloud Technology Co., Limited",6
"MCI Communications Services, Inc. d/b/a Verizon Business",5
Dimension Network & Communication Limited,5
PACSWITCH (ASIA) NETWORK,5
I-Services Network Solution Limited,5
ERANET INTERNATIONAL LIMITED,4
Internet Assigned Numbers Authority,4
The Chinese University of Hong Kong,4
The University of Hong Kong,4
Speedy Group Corporation Limited,4
SPEEDCAST Limited,4
"Host Virtual, Inc",4
Powerbase DataCenter Services (HK) Ltd.,4
PCCW Global (HK) Ltd.,4
GLOBALNET COMMUNICATION LTD.,4
Asia Data Center Limited,4
Exanet Limited,3
"Giganews, Inc.",3
International Trade Centre,3
UDomain Web Hosting Company Ltd,3
Defoe Chan & Company (Hong Kong) Limited,3
PACSWITCH GLOBAL IP NETWORK,3
EASYHOST SOLUTION LIMITED,3
Equant Inc.,3
Hong Kong Baptist University,3
Net Sys International Limited - Internet Service Provider,3
"Unit A-E, 13/F, Golden Sun Centre",3
Cyber Channel International Ltd,3
"PENCENT INFORMATION TECHNOLOGY (HK) CO., LIMITED",2
XANTIC B.V.,2
Hutchison Global Crossing Ltd.,2
"Global Gateway, Tsuen Wan, New Territories, Hong Kong",2
"TWOWIN CO., LIMITED",2
"Room 603, Kin Wing Ind Bldg",2
ABC Computer Systems Ltd,2
AS# for peering purpose with IX and ISP.,2
i-System Technology Limited,2
Vocational Training Council Hong Kong,2
IPTriplePlay Ltd,2
City University of Hong Kong,2
SINOSAT (HONG KONG) LIMITED,2
eSited Solutions,2
11/F AXA Centre 151 Gloucester Road,2
China Unicom (Hong Kong) Operations Limited,2
Information Technology Services,2
HKCOLO ltd. Internet Service Provider,2
"NeuStar, Inc.",2
Hong Kong Telecom Global Data Centre,2
Colocation Hosting Global Private Limited,2
Trusov Ilya Igorevych,1
INTERNET-SOLUTION -HK,1
ACME Universal Co.,1
KDD HONG KONG LIMITED,1
CityLine (Hong Kong) Limited,1
GOIP-AULA-LIMITED,1
Hong Kong Communications Co. Ltd.,1
RSH Hosting Network,1
Internap Network Services,1
Bank Of China(Hong Kong) Limited,1
Pacnet Global Ltd,1
Equinix Asia Pacific,1
"Unit 09-18, Level 12, Tower 1",1
CHINA TELECOM (AMERICAS) CORPORATION,1
"Web Hosting, Dedicated Server",1
"ZSCALER, INC.",1
Globecomm Network Services Corp Transit AS Internet,1
CENTRAL INTERNET SERVICES,1
"QIANYEUNG INFORMATION TECHNOLOGY CO.,LIMITED",1
SES ASTRA S.A.,1
HSBC HongKong,1
AsiaTech Telecom Limited,1
Jardine OneSolution,1
Hutchison International Limited,1
AGENCE FRANCE PRESSE,1
Rebel Hosting,1
POWERNETIX,1
Phantom Company Limited,1
Emerson (NYSE:EMR) is a global company,1
Asia Broadcast Networks Peering AS,1
"QuadraNet, Inc",1
International Customer Loyalty Programmes Limited,1
Rainbow network limited,1
SINOSAT (HK) LIMITED,1
Resources Link Network Limited,1
Austreme,1
"28/F, Soundwill Plaza",1
Juniper Networks HK Ltd.,1
Website Solution Limited,1
Virtual Switching Consultancy Limited (C/O VXRoutes Ltd),1
Telstra Global,1
HK Science & Technology Parks Corporation,1
"Blue Coat Systems, Inc",1
Sony Corporation of Hong Kong Ltd AS,1
Tele Asia Limited,1
"Computerline, Schlierbach, Switzerland",1
CLOUDHOST LIMITED,1
Equinix Information Technologies Hong Kong Limited,1
"NTT America, Inc.",1
Hong Kong University of Science and Technology,1
PG Lion ReSources Aust Pty Ltd,1
EDIS GmbH,1
Zeroport Limited,1
GlobeCast Hong Kong,1
China Network Services (HK) Ltd AS,1
"Rm 1, 1/F, Hung Tai Bldg., 37-39 Hung To Road, Kwun Tong",1
Infitack Technologies Limited,1
Confluence Networks Inc,1
Winspeed Group International Limited,1
Hong Kong Serverworks,1
Diyixian.com (TW) Limited,1
Asia Broadcast Satellite Ltd.,1
Asia Web Service Ltd,1
"AT&T Global Network Services, LLC",1
The Open University of Hong Kong,1
TATA COMMUNICATIONS (AMERICA) INC,1
Cloud Rely Limited,1
